"filename", "language", "Properties", "Groovy", "PowerShell", "Batch", "Markdown", "Java", "YAML", "MCMETA", "JSON", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\.github\pull_request_template.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 14, 44
"d:\javaProjects\GravityEngine\.github\workflows\verify-common.yml", "YAML", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 7, 90
"d:\javaProjects\GravityEngine\AGENTS.md", "Markdown", 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 132, 399
"d:\javaProjects\GravityEngine\README.md", "Markdown", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 29, 72
"d:\javaProjects\GravityEngine\build.gradle", "Groovy", 0, 67, 0, 0, 0, 0, 0, 0, 0, 21, 16, 104
"d:\javaProjects\GravityEngine\common\build.gradle", "Groovy", 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 7, 37
"d:\javaProjects\GravityEngine\common\settings.gradle", "Groovy", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityField.java", "Java", 0, 0, 0, 0, 0, 4, 0, 0, 0, 24, 3, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldBounds.java", "Java", 0, 0, 0, 0, 0, 32, 0, 0, 0, 13, 3, 48
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldCompositionMode.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 0, 24, 4, 33
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldQuery.java", "Java", 0, 0, 0, 0, 0, 60, 0, 0, 0, 11, 14, 85
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldSample.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 0, 11, 7, 36
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFields.java", "Java", 0, 0, 0, 0, 0, 93, 0, 0, 0, 84, 12, 189
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityInfluenceVolume.java", "Java", 0, 0, 0, 0, 0, 7, 0, 0, 0, 16, 6, 29
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\package-info.java", "Java", 0, 0, 0, 0, 0, 1, 0, 0, 0, 35, 1, 37
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\math\Vec3d.java", "Java", 0, 0, 0, 0, 0, 139, 0, 0, 0, 21, 26, 186
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\math\package-info.java", "Java", 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 1, 9
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\AngularTrajectory.java", "Java", 0, 0, 0, 0, 0, 313, 0, 0, 0, 25, 31, 369
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\AttitudeSpaceTransform.java", "Java", 0, 0, 0, 0, 0, 295, 0, 0, 0, 107, 39, 441
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeConfigSnapshot.java", "Java", 0, 0, 0, 0, 0, 160, 0, 0, 0, 3, 4, 167
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeConstraintKind.java", "Java", 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 2, 17
