"filename", "language", "Groovy", "Java", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\MovementIndeterminateReason.java", "Java", 0, 33, 1, 2, 36
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\MultiContactSupport.java", "Java", 0, 224, 130, 34, 388
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\ObbAngularTrajectory.java", "Java", 0, 55, 3, 10, 68
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\ObbQueryContext.java", "Java", 0, 267, 29, 37, 333
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\ObbRotationSweep.java", "Java", 0, 178, 34, 23, 235
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\PassiveGravityMoveResult.java", "Java", 0, 140, 6, 21, 167
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\RigidMotionSnapshot.java", "Java", 0, 107, 15, 5, 127
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\RigidObstacleSweep.java", "Java", 0, 152, 12, 9, 173
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\SphereObstacle.java", "Java", 0, 27, 8, 10, 45
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\StepUpIntent.java", "Java", 0, 52, 28, 9, 89
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\SupportFaceIdentity.java", "Java", 0, 22, 3, 5, 30
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\SupportRegionPolicy.java", "Java", 0, 128, 22, 15, 165
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\SweepContactResult.java", "Java", 0, 28, 7, 7, 42
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\SweepInitialState.java", "Java", 0, 6, 1, 2, 9
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\TerrainTraversalPolicy.java", "Java", 0, 96, 80, 23, 199
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\VoxelContactReducer.java", "Java", 0, 751, 137, 87, 975
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\WorldBorderCollisionSnapshot.java", "Java", 0, 105, 35, 19, 159
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\WorldBorderObstacle.java", "Java", 0, 14, 1, 8, 23
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\geometry\SphereObbCollision.java", "Java", 0, 522, 27, 41, 590
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\geometry\SphereObbContact.java", "Java", 0, 33, 7, 6, 46
